
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.1                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Y at Wheel Center                            Demo data                                           

   WhTra  ForceY_L ForceY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]
     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.50    -0.50     0.00     0.00     0.00     0.00     0.00     0.00
     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.50    -0.50     0.00     0.00     0.00     0.00     0.00     0.00
     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.50    -0.50     0.00     0.00     0.00     0.00     0.00     0.00
     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.50    -0.50     0.00     0.00     0.00     0.00     0.00     0.00
     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.50    -0.50     0.00     0.00     0.00     0.00     0.00     0.00
     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.50    -0.50     0.00     0.00     0.00     0.00     0.00     0.00
     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.50    -0.50     0.00     0.00     0.00     0.00     0.00     0.00
     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.50    -0.50     0.00     0.00     0.00     0.00     0.00     0.00
     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.50    -0.50     0.00     0.00     0.00     0.00     0.00     0.00
     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.50    -0.50     0.00     0.00     0.00     0.00     0.00     0.00
     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.50    -0.50     0.00     0.00     0.00     0.00     0.00     0.00
     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.50    -0.50     0.00     0.00     0.00     0.00     0.00     0.00
     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.50    -0.50     0.00     0.00     0.00     0.00     0.00     0.00
     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.50    -0.50     0.00     0.00     0.00     0.00     0.00     0.00
     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.50    -0.50     0.00     0.00     0.00     0.00     0.00     0.00
     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.50    -0.50     0.00     0.00     0.00     0.00     0.00     0.00
     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.50    -0.50     0.00     0.00     0.00     0.00     0.00     0.00
